,,Indeks Pembangunan Manusia,,,,,Rata-Rata Lama Sekolah (Tahun),,,,,PDRB ADHK (Milyar Rupiah),,,,,Persentase Penduduk Miskin (%),,,,,Umur Harapan Hidup (Tahun),,,,,Garis Kemiskinan (Rupiah/Kapita/Bulan),,,,,Kepadatan Penduduk (Jiwa/km2),,,,,Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),,,,,Indeks Pembangunan Gender,,,,,Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),,,,
,Nagan Raya,70.54,70.67,71.46,72.15,73.1,"8,68","8,69","8,95","8,96","9,25","6749,95","7110,42","7278,93","7756,04","8095,62","17,7","18,23","17,38","17,25","16,94",69.22,69.24,69.45,69.6,69.75,493121,508801,544300,594374,635820,50,51,52,52,52,80.35,74.86,79.97,82.72,87.32,90.31,90.37,90.82,91.02,91.32,8216,8292,8581,9062,9523
,Aceh Jaya,71.3,71.39,71.92,72.44,73.4,"8,7","8,71","8,72","8,74","9,02","1982,45","2033,84","2108,6","2196,08","2280,16","12,87","13,23","12,51","12,42","12,25",67.16,67.19,67.4,67.55,67.69,428094,441706,468854,515244,536092,24,25,25,26,26,83.27,81.6,78.05,78.83,82.31,89.47,89.49,89.62,89.8,90.12,9615,9666,10041,10461,11007
,Bener Meriah,74.54,74.84,75.46,76.06,76.58,"9,79",10,"10,01","10,12","10,13","3629,87","3744,09","3882,43","4085,23","4218,99","18,89","19,16","18,39","18,31","18,18",69.22,69.26,69.48,69.64,69.79,457916,476074,512111,551868,591421,111,113,116,116,118,84.12,86.69,81.56,87.04,88.05,96.6,96.63,96.79,96.76,96.73,11098,11118,11421,11855,12360
,Pidie Jaya,74.44,74.84,75.59,76.04,76.39,"9,33","9,34","9,53","9,58","9,59","2583,13","2635,52","2729,56","2845,17","2974,56","19,19","19,55","18,45","18,4","18,28",70.14,70.18,70.41,70.6,70.77,481308,495254,523239,572452,599755,148,149,152,153,155,66.39,74.3,73.49,78.07,80.82,94.92,94.88,94.99,95.27,95.28,10071,10290,10701,11005,11274
,Kota Banda Aceh,87.06,87.36,87.92,88.32,88.85,"12,65","12,83","13,03","13,04","13,1","14644,29","15449,97","16257,93","17079,85","18117,78","6,9","7,61","7,13","7,04","6,95",71.45,71.52,71.79,72.02,72.17,674977,698617,737016,814530,862944,4122,4156,4199,4269,4319,99.41,99.88,96.88,99.91,99.39,95.26,95.54,95.91,96.19,96.18,16778,16891,17228,17521,18100
,Kota Sabang,76.96,77.29,78.03,78.7,79.5,"11,14","11,18","11,19","11,2","11,22","1122,89","1152,87","1181,91","1217,54","1268,22","14,94","15,32","14,66","14,59","14,58",70.51,70.56,70.79,70.98,71.17,599381,620373,660573,715446,725956,269,275,282,280,284,89.2,92.25,89.52,93.96,95.9,95.81,95.6,95.6,95.64,95.74,11273,11378,11780,12137,12625
,Kota Langsa,79.3,79.58,79.96,80.5,80.96,"11,11","11,12","11,14","11,27","11,28","3813,19","3962,71","4151,97","4326,98","4518,85","10,44","10,96","10,62","10,53","10,33",69.42,69.43,69.63,69.78,69.92,407421,435438,469348,512319,546363,709,720,734,742,754,91.57,91.81,91.92,92.92,94.3,95.61,95.41,95.56,95.77,95.88,12057,12067,12353,12678,13133
,Kota Lhokseumawe,78.65,78.92,79.38,80.26,80.89,"10,91","11,11","11,12","11,27","11,31","6984,71","7252,9","7543,74","7861,01","8211,43","10,8","11,16","10,84","10,73","10,44",71.6,71.64,71.87,72.06,72.25,401158,427045,460583,498431,522671,1042,1049,1057,1090,1107,88.07,93.1,90.27,90.36,93.71,94.9,95.06,95.06,95.73,95.73,11367,11390,11701,12125,12694
,Kota Subulussalam,67.39,67.75,68.72,69.66,70.64,"7,84","8,03","8,22","8,32","8,43","1385,41",1439,"1498,3","1559,06","1623,25","17,6","17,65",16,"16,41","16,38",64.02,64.07,64.3,64.41,64.51,400517,418643,444818,487777,504372,65,67,68,70,71,73.54,69.71,72.46,63.4,61.57,85.06,85.25,85.26,85.36,85.88,7317,7385,7689,8065,8491
Sumatera Utara,Nias,62.55,63.37,64.3,65.15,66.13,"5,36","5,64","5,88","6,14","6,4","2609,14","2666,86","2748,38","2853,24","2964,34","16,6","16,82",16,"15,1","14,89",69.75,69.78,70.06,70.34,70.52,405355,428739,454570,485533,520024,80,80,193,170,172,17.84,19.93,28.17,23.86,28.1,90.81,91.25,91.28,91.05,91.22,6898,6995,7196,7301,7698
