,,Indeks Pembangunan Manusia,,,,,Rata-Rata Lama Sekolah (Tahun),,,,,PDRB ADHK (Milyar Rupiah),,,,,Persentase Penduduk Miskin (%),,,,,Umur Harapan Hidup (Tahun),,,,,Garis Kemiskinan (Rupiah/Kapita/Bulan),,,,,Kepadatan Penduduk (Jiwa/km2),,,,,Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),,,,,Indeks Pembangunan Gender,,,,,Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),,,,
,Kota Padangsidimpuan,76.93,77.19,77.73,78.1,78.61,11,"11,09","11,11","11,12","11,13","4230,41","4346,78","4554,02","4785,66","5025,22","7,4","7,53","6,89","6,85","6,23",69.41,69.5,69.84,70.2,70.43,417455,453777,480196,523244,556024,1963,1986,1450,1483,1507,42.6,51.33,45.65,44.79,48.42,97.67,97.87,97.92,97.53,97.46,10856,10965,11337,11552,11964
,Kota Gunungsitoli,70.22,70.51,71.11,71.55,72.3,"8,61","8,62","8,64","8,65","8,76","3441,65","3519,13","3628,53","3762,59","3906,89","16,41","16,45","14,81","14,78","14,72",71.19,71.32,71.71,72.09,72.25,370967,408190,426349,459787,493644,484,487,1018,685,696,35.77,45.13,50.29,55.37,55.54,89.31,89.4,89.69,89.92,90.24,7980,8134,8434,8635,9056
Sumatera Barat,Kepulauan Mentawai,63.71,63.98,64.83,65.79,66.67,"7,19","7,3","7,59","7,83","8,02","2956,01","3040,97","3191,3","3320,15","3451,93","14,35","14,84","13,97","13,72","13,89",64.73,64.73,64.93,65.1,65.27,340191,356403,386152,421113,461088,15,15,15,15,15,61.73,71.05,69.09,72.28,75.64,89.59,89.81,89.91,89.57,90.13,6281,6321,6567,6891,7192
,Pesisir Selatan,70.87,71.01,71.72,72.24,72.87,"8,4","8,41","8,51","8,6","8,77","9470,78","9788,46","10181,47","10608,29","11015,21","7,61","7,92","7,11","7,34","7,49",70.86,70.96,71.25,71.52,71.59,467743,491573,526564,554057,589787,88,89,85,91,93,71.51,71.4,73.68,76.82,78.93,95.12,95.41,95.75,95.57,95.83,9212,9270,9686,9953,10211
,Solok,70.44,70.6,71.39,71.92,72.29,"7,87","7,88","7,9","7,92","7,93","9792,92","10114,58","10547,97","11008,01","11437,87","7,81","8,01","7,12","7,13","7,31",68.58,68.79,69.19,69.56,69.8,451906,461030,484358,532900,569605,105,105,111,108,110,50.36,47.63,57.28,59.75,62.56,96.18,96.19,96.29,96.17,96.22,10171,10215,10539,10717,10988
,Sijunjung,70.36,70.48,71.32,72.3,72.88,"8,17","8,18","8,32","8,61","8,65","6683,02","6892,61","7163,43","7468,6","7758,79","6,78","6,8",6,"5,88","5,78",66.21,66.36,66.7,67.02,67.32,433147,455346,484572,529460,565067,75,76,76,78,79,64.95,72.63,74.14,72.18,74.53,93.03,93.4,94.16,94.28,94.39,10361,10389,10582,11018,11395
,Tanah Datar,74.01,74.14,74.87,75.57,76.49,"8,56","8,57","8,85",9,"9,19","9575,9","9889,46","10300,93","10757,91","11172,45","4,4","4,54","4,26","4,16","4,28",69.94,70.12,70.49,70.84,70.96,420049,441793,466907,515587,554665,278,280,273,287,291,62.86,53.73,57.49,62.99,65.02,97.57,97.58,97.62,97.73,97.48,10588,10616,10695,10905,11223
,Padang Pariaman,72.8,72.92,73.67,74.54,74.9,"7,89","7,93","8,21","8,41","8,51","11939,48","12195,75","13029,17","13740,82","14369,24","6,95","7,22","6,25","6,34","6,27",68.79,68.97,69.34,69.7,70.1,455463,475342,499461,548147,580392,323,325,325,339,345,59.72,55.86,59.76,61.77,63.73,92.69,92.78,93.08,93.32,93.92,10998,11050,11159,11432,11756
,Agam,73.11,73.2,73.84,74.44,75.08,"8,97","8,98",9,"9,21","9,24","14409,17","14942,56","15572,21","16275,98","16946,6","6,75","6,85","6,22","6,6","6,83",72.37,72.53,72.89,73.23,73.47,424728,444711,485222,530290,558963,293,296,243,306,310,71.58,77.25,74.84,77.04,77,97.01,96.95,97,97.19,97.09,9651,9662,10171,10402,10686
,Lima Puluh Kota,70.82,71.03,71.64,72.05,72.51,"8,13","8,23","8,24","8,28","8,29","11062,32","11430,81","11890,13","12430,83",12932,"6,86","7,29","6,59","6,8","6,92",69.79,69.84,70.08,70.3,70.46,451295,475123,504670,553068,582794,107,108,119,111,112,53.86,55.69,64.19,60.64,64.31,95.03,94.91,94.85,94.77,94.86,9596,9668,10035,10285,10648
,Pasaman,68.35,68.48,69.12,69.85,70.61,"8,18","8,19","8,2","8,22","8,26","6122,76","6327,97","6586,26","6876,87","7148,27","7,16","7,48","6,85","6,8","6,74",67.4,67.59,67.96,68.29,68.61,388726,408293,431915,472703,515608,76,77,79,79,81,40.9,45.26,42.81,46.74,49.35,92.45,92.47,92.51,92.7,92.91,8425,8440,8619,8908,9194
,Solok Selatan,70.69,70.88,71.36,72.24,73.17,"8,3","8,34","8,41","8,7","8,85","3928,03","4058,51","4221,15","4414,12","4594,77","7,15","7,52","6,51","6,45","6,56",67.81,68.01,68.38,68.71,68.99,419442,438187,470090,516004,551340,54,55,57,57,58,59.17,58.57,55.33,54.69,56.71,95.08,95.14,95.2,95.27,95.53,10325,10367,10560,10884,11240
,Dharmasraya,72.3,72.65,73.19,73.87,74.82,"8,64","8,72","8,74","8,83","8,98","7454,97","7708,75","8037,79","8387,15","8711,16","6,23","6,67","5,56","5,56","5,32",71.33,71.53,71.9,72.24,72.6,477421,503183,530693,581058,622190,77,78,80,81,82,84.16,82.71,81.09,81.57,85.99,88.31,88.32,88.56,89.11,89.71,11273,11324,11650,11901,12254
,Pasaman Barat,70.3,70.57,71.39,72.03,72.78,"8,19","8,27","8,54","8,8","9,03","11258,35","11675,98","12158,62","12684,89","13202,35","7,04","7,51","6,93","6,92",7,67.82,67.94,68.25,68.53,68.81,467769,492467,544829,596225,657354,111,112,115,116,117,63.65,70.28,68.98,71.64,73.49,90.26,90.14,90.17,90.05,90.32,9047,9089,9381,9538,9888
,Kota Padang,83.22,83.3,83.69,83.98,84.38,"11,6","11,61","11,62","11,64","11,67","43631,94","45226,64","47175,95","49316,19","51611,55","4,4","4,94","4,26","4,17","4,06",73.65,73.69,73.93,74.16,74.42,570654,602540,634581,698720,736786,1311,1317,1324,1359,1376,82.5,80.13,76.1,78.56,78.22,93.64,93.81,93.85,93.94,94.04,14481,14540,14889,15089,15458
,Kota Solok,78.41,78.53,79.35,79.66,80.06,"11,19","11,2","11,37","11,38","11,39","2835,75","2936,55","3071,58","3219,31","3365,78","2,77","3,12","3,02","3,05","3,07",73.61,73.73,74.06,74.39,74.73,450254,464977,491488,538682,569869,1030,1045,1292,1092,1115,89.19,91.4,92.47,94.35,92.19,97.05,97.05,96.67,96.64,96.9,12117,12168,12515,12709,12995
,Kota Sawah Lunto,73.97,74.35,75.21,75.91,76.68,"10,23","10,35","10,49","10,5","10,55","2760,92","2829,35","2941,27","3072,35","3195,86","2,16","2,38","2,28","2,27","2,33",70,70.1,70.4,70.69,70.92,399688,412757,443301,487610,524196,281,283,286,292,296,80.77,86.45,86.86,90.18,91.24,95.48,95.73,95.17,95.36,95.73,10182,10195,10537,10829,11187
,Kota Padang Panjang,78.43,78.52,79.28,79.76,80.6,"11,6","11,61","11,78","11,87","11,94","2543,4","2631,38","2746,84","2879,85","3009,93","5,24","5,92","5,14","5,24","5,31",72.82,72.82,73.02,73.23,73.61,491142,516648,543609,599681,634303,2448,2477,2455,2549,2585,72.15,73.04,77.42,76.31,79.57,97.7,97.78,98.24,98.19,98.23,10734,10754,11153,11310,11840
,Kota Bukittinggi,80.68,80.79,81.52,81.88,82.61,"11,33","11,38","11,54","11,55","11,64","6045,09","6263,04","6555,33","6869,4","7180,21","4,54","5,14","4,46","4,11","4,08",74.38,74.5,74.82,75.13,75.42,519470,540457,570032,619896,658640,4795,4817,5060,4915,4953,90.25,89.93,85.09,89.32,89.07,98.89,98.99,99.36,99.17,98.66,13282,13331,13633,13859,14297
,Kota Payakumbuh,79.06,79.24,79.7,80.14,80.76,"10,69","10,76","10,77","10,84","10,85","4414,29","4572,19","4778,35","5002,7","5229,45","5,65","6,16","5,66","5,44","5,19",73.74,73.84,74.14,74.43,74.77,526490,543335,573234,616357,648230,1638,1657,1922,1699,1722,87.75,89.49,87.1,87.75,87.93,98.46,98.6,98.61,98.58,98.93,13281,13317,13687,13978,14260
,Kota Pariaman,78.55,78.72,79.31,79.76,80.49,"10,53","10,64","10,77","10,8","11,05","3544,66","3668,98","3835,25","4018,87","4200,08","4,1","4,38","4,13","4,2","4,26",70.28,70.38,70.67,70.95,71.17,480028,495386,522932,576455,609286,1425,1441,1493,1470,1487,81.81,79.56,82.91,84.18,85.99,98.49,98.62,98.64,98.07,98.11,12796,12818,13150,13355,13784
Riau,Kuantan Singingi,72.12,72.4,72.78,73.35,74,"8,59","8,75","8,76","8,9","9,14","23853,04","24747,63","25923,73","26667,59","27498,98","8,91","8,97","8,24","8,07","7,89",68.55,68.6,68.87,69.13,69.44,580453,599163,638678,693493,736050,64,65,63,63,64,82.81,87.98,86.98,85.36,86.86,90.16,90.06,90.48,90.47,90.69,10243,10309,10647,10945,11182
,Indragiri Hulu,70.98,71.25,71.69,72.28,72.75,"8,38","8,39","8,4","8,42","8,43","29831,96","31102,98","32543,67","33971,01","35243,19","5,96","6,18","6,14","6,06","6,02",70.25,70.26,70.48,70.69,70.86,522110,549563,584910,626671,660349,58,59,59,59,60,84.16,82.82,84.63,85.43,86.09,86.94,86.69,86.73,87.07,87.41,10202,10260,10472,10957,11333
,Indragiri Hilir,68.43,68.49,69.12,69.64,70.07,"7,23","7,24","7,26","7,31","7,32","44967,54","46950,37","49416,95","50985,02","52563,59","5,93","6,18","5,98","5,64","5,66",67.85,67.98,68.31,68.62,68.7,495305,518283,568879,597122,629570,52,52,49,50,51,59.33,49.64,56.32,57.13,60.86,82.34,82.37,82.74,83.2,83.7,9954,9945,10234,10659,11050
,Pelalawan,72.77,73.28,74.15,74.69,75.25,"8,5","8,7","8,72","8,73","8,96","35110,42","36538,81","38141,09","39930,86","41670,21","9,16","9,63","8,97","8,15","8,49",71.16,71.24,71.53,72,72.13,585728,618738,655641,689786,729977,31,31,31,31,31,89.18,81.13,83.77,85.3,85.7,88.06,88.73,88.94,89.37,89.44,11606,11672,12163,12399,12575
,Siak,74.72,75.03,75.53,75.97,76.52,"9,66","9,86","9,87","9,88","9,92","53311,01","54543,29","56605,99","59070,04","61651,5","5,09","5,18","5,07","5,23","5,08",71.11,71.13,71.37,71.64,71.75,473128,489467,518768,558867,595659,55,56,61,61,62,90.51,95.41,93.51,91.15,93.32,88.62,88.69,88.79,88.93,89.03,11799,11807,12230,12637,13080
,Kampar,74.23,74.41,75.21,75.59,76.29,"9,26","9,27","9,39","9,4","9,58","51419,3","53193,86","55765,14","58116,51","59695,1","7,38","7,82","7,12","7,04","6,92",70.76,70.83,71.12,71.42,71.56,460991,477603,502670,547696,590444,77,78,85,85,86,89.47,89.62,82.97,86.4,87.82,89.52,89.79,89.81,89.87,90.18,10796,10858,11394,11662,12034
,Rokan Hulu,70.95,71.19,71.7,72.28,73.07,"8,39","8,54","8,55","8,81","8,94","25482,41","26750,94","28093,71","29250,58","30042,44","10,31","10,4","9,95","9,72","9,62",70.06,70.18,70.51,70.84,70.95,532643,551351,585225,647599,699018,74,75,76,76,78,81.44,88.85,90.1,89.49,90.64,81.88,82.12,82.44,82.72,83.05,9374,9406,9841,10055,10586
,Bengkalis,74.49,74.6,75.38,75.96,76.37,"9,69","9,7","9,71","9,73","9,74","73856,68","74229,92","75878,58","77977,09","78699,63","6,4","6,64","6,32","6,31","6,36",71.2,71.24,71.5,71.79,71.92,581416,604925,648933,713826,755572,81,82,68,68,69,89.67,90.34,86.99,91.11,92.63,90.07,90.1,90.11,89.94,89.91,11331,11415,11857,12153,12321
,Rokan Hilir,70.42,70.61,71.35,71.98,72.46,"8,25","8,26","8,28","8,52","8,53","45978,06","46726,02","47961,77","49319,96","50153,11","6,72","7,18","6,73","7,07","7,01",70.3,70.39,70.69,70.99,71.11,418473,437398,465614,511610,545799,72,73,73,73,74,74.75,73.94,81.15,79.71,80.76,84.91,84.65,85.13,85.38,85.81,9362,9417,9906,10097,10447
,Kepulauan Meranti,67.39,67.59,68.31,68.96,69.64,"7,7","7,84","7,88","7,99","8,12","12683,87","13008,81","13421,78","14067,69","14536,18","25,28","25,68","23,84","22,98","23,15",67.68,67.78,68.09,68.41,68.48,520955,542599,568639,623576,661863,56,56,59,58,59,57.43,55.98,57.03,57.67,61.31,86.3,86.45,86.97,87.35,87.44,7790,7780,8246,8613,8988
,Kota Pekanbaru,82.67,82.93,83.38,83.67,84.26,"11,68","11,92","11,93","11,94","11,96","69000,14","72619,08","77539,1","82235,28","86024,52","2,62","2,83","3,06","3,16","3,15",72.34,72.41,72.7,73.02,73.21,589281,613183,655389,712000,749522,1555,1573,1578,1592,1608,96.73,96.28,96.65,95.13,96.46,93.01,93.27,93.63,93.89,94.04,14433,14360,14804,14983,15212
,Kota Dumai,75.34,75.67,76.2,76.45,77.03,"10,07","10,14","10,15","10,16","10,29","24597,99","26068,28","27725,87","29402,61","30877,16","3,16","3,42","3,2","3,21","3,14",70.93,70.98,71.25,71.67,71.78,484609,509002,543182,601348,631652,195,199,161,160,162,95.38,97.03,91.44,95.5,97.98,90.66,90.72,90.74,90.92,91.35,11751,11818,12249,12457,12847
Jambi,Kerinci,72.47,72.72,73.24,73.77,74.33,"8,55","8,56","8,57","8,59","8,6","6567,28","6822,79","7125,01","7533,32","7877,28","7,3","7,71","7,57","7,54","6,93",69.93,70,70.28,70.55,70.8,385571,396168,443408,485838,606095,75,75,74,74,75,72.03,66.32,68.1,68.98,66.37,86.65,86.81,87.03,87.15,87.49,9995,10184,10570,10965,11441
,Merangin,70.2,70.55,70.98,71.81,72.65,"7,76","7,9","7,91","8,13","8,4","9863,65","10380,35","10973,63","11552,99","12078,18","8,63","9,11","8,7","8,9","8,4",71.26,71.29,71.53,71.75,71.95,440156,453696,489880,537492,617011,46,46,47,49,50,73.88,71.07,75.7,81.15,82.03,88.14,88.24,88.35,88.82,88.84,10279,10380,10714,10969,11425
,Sarolangun,71.63,72.02,72.66,73.05,73.76,"7,87","8,04","8,12","8,14","8,35","10690,59","11396,35","12163,62","12651,33","13119,54","8,42","8,87","8,48","8,54","8,36",69.17,69.21,69.46,69.7,69.92,459092,472866,497951,545939,607306,47,48,50,51,52,72.87,76.03,79.14,79.79,82.34,90.55,90.81,91.65,91.38,92,11616,11792,12069,12392,12679
,Batang Hari,71.34,71.61,71.99,72.5,73.12,"8,11","8,12","8,21","8,22","8,35","11662,61","12227,81","13727,43","14237,07","14663,02","9,65","10,05","9,63","9,45","8,63",70.56,70.64,70.93,71.22,71.55,450233,462468,497857,540168,613093,52,53,58,58,59,84.57,79.68,80.26,82.86,85.37,85.01,85.23,85.44,85.57,85.95,9825,10032,10173,10528,10872
,Muaro Jambi,70.41,70.79,71.41,72.26,73.11,"8,57","8,58","8,59","8,69","8,7","16183,86","16825,15","18178,83","19319,97","20511,24","3,83","4,53","4,47","4,43","3,65",71.27,71.32,71.58,71.84,72.09,409104,425294,462035,535244,617948,75,76,79,80,81,82.58,89.17,83.36,85.66,87.11,80.08,81.06,81.55,82.12,82.47,8556,8825,9118,9525,10007
,Tanjung Jabung Timur,67.58,68.09,68.96,69.85,70.77,"6,7","6,92","7,19","7,43","7,7","17349,98","17373,51","17471,86","17850,09","18695,01","10,95","11,39","10,91","10,85","10,14",66.23,66.34,66.66,66.98,67.26,392778,406772,468201,514905,592432,42,43,52,52,53,61.88,70.27,69.75,74.96,74.72,87.5,87.43,87.68,87.9,88.09,9026,9163,9503,9898,10328
,Tanjung Jabung Barat,69.62,70.26,70.88,71.44,72.01,"7,71",8,"8,18","8,31","8,32","30654,42","31072,19","31871,34","32987,6","34456,45","10,29","10,75",10,"9,79","9,54",68.12,68.17,68.43,68.67,68.91,396113,409631,453956,499318,575337,68,69,59,60,60,65.89,81.89,73.53,77.87,78.32,85.66,85.79,86.17,86.51,86.53,9480,9699,9968,10229,10696
,Tebo,70.51,70.73,71.14,71.99,72.67,"7,58","7,59","7,7","7,94","8,04","10158,23","10593,96","11260,53","11766,75","12234,47","6,26","6,68","6,34","6,46","6,12",69.99,70.02,70.26,70.49,70.69,435523,448461,485883,528310,590573,52,53,56,57,58,81.48,83.38,78.29,80.69,85.89,90.06,90.4,90.92,91.63,91.87,10389,10546,10725,10894,11415
,Bungo,72.46,72.7,73.08,73.57,74.44,"8,27","8,28","8,29","8,39","8,6","12490,07","13113,57","13733,32","14377,22","14851,3","5,8","6,23","5,38","5,29","5,06",67.74,67.83,68.13,68.43,68.71,422801,436020,470545,517119,607714,78,79,78,79,80,69.48,77.58,79.59,83.86,86.16,88.54,88.49,88.61,88.83,88.95,11471,11670,11956,12224,12820
,Kota Jambi,79.19,79.94,80.38,80.93,81.77,"10,92","11,2","11,21","11,32","11,51","18271,13","19494,09","20540,75","21810,34","22896,42","8,27","9,02","8,33","8,24","7,73",72.65,72.71,72.99,73.29,73.66,529090,563403,605556,667447,757014,2951,3,3647,3695,3738,95.03,93.22,92.82,98.08,96.72,94.03,94.42,94.8,95.01,95.18,12056,12240,12597,12783,13388
,Kota Sungai Penuh,76.02,76.3,76.75,77.2,77.93,"10,32","10,33","10,34","10,36","10,48","4600,23","4768,84","4980,13","5224,21","5490,46","3,03","3,41","2,97",3,"2,92",72.11,72.21,72.53,72.86,73.2,401966,426380,450708,491568,610141,247,250,272,273,276,81.56,74.04,77.72,83.52,80.56,94.31,94.41,94.49,94.54,94.7,10248,10454,10745,11027,11499
Sumatera Selatan,Ogan Komering Ulu,71.5,71.79,72.41,73.17,73.7,"8,8","9,09","9,05","9,19","8,86","9866,72","10116,56","10683,32","11229,12","11797,87","12,75","12,62","11,61","11,46","10,68",68.2,68.24,68.55,68.85,69.02,457452,481139,511887,548200,563523,77,77,100,100,101,80.15,82.94,84.39,80.78,82.72,94,93.94,94.15,94.34,94.43,10020,10040,10499,10859,11339
,Ogan Komering Ilir,68.96,69.33,70.17,70.8,71.48,"7,46","7,19","7,51","7,57","7,19","20228,21","20905,99","25044,76","26369,56","27723,18","14,73","14,68","13,23","13,15","12,08",68.61,68.67,69.01,69.31,69.48,375837,393240,416417,444881,473057,42,42,46,47,47,74.72,68.93,63.95,69.73,65.54,91.3,91.69,92.26,92.35,92.6,10725,10755,11251,11736,12305
,Muara Enim,70.84,70.95,71.52,72.33,73.1,"8,21","8,28","8,42","8,53","8,27","41594,54","44236,77","48099,37","52228,24","55304,93","12,32","12,32","11,12","10,93","9,79",68.9,69.02,69.38,69.72,69.93,390342,405782,426216,467396,491107,83,84,92,94,95,84.99,84.8,84.16,85.58,86.54,89.64,89.67,89.87,89.82,90.14,10951,10995,11304,11683,12291
,Lahat,70.48,70.62,71.45,72.15,72.83,"8,8","8,93","8,94","8,89","8,69","12427,42","13037,37","13945,58","14883,95","15644,96","15,95","16,46","15,61",15,"14,14",66.04,66.16,66.52,66.87,67.11,457569,485142,513085,547203,582041,81,82,104,103,104,69.34,70.52,70.35,70.19,69.27,94.6,94.74,94.71,94.76,94.99,9730,9735,10296,10811,11255
,Musi Rawas,69.05,69.26,70.04,70.52,71.21,"7,89","7,8","7,91",8,"7,57","13712,55","14032,62","14602,02","15189,77","15941,93","13,5","13,89","13,34","14,13","13,44",68.14,68.26,68.62,68.95,69.15,467766,493675,524110,564151,589926,62,63,66,67,67,71.78,69.34,73.69,74.5,70.98,85.45,85.85,86.15,86.55,86.78,9520,9550,10107,10429,11058
,Musi Banyuasin,69.83,70.25,70.73,71.3,72.27,"7,96","8,05","8,06","8,28","7,95","44604,66","46128,99","48097,66","50268,35","52754,1","16,13","15,84","15,19","14,9","12,88",68.75,68.84,69.19,69.51,69.72,519797,537774,566393,593258,594355,44,44,44,44,45,74.85,71.81,80.71,83.52,79.03,82.9,82.63,83.23,83.48,83.78,10088,10140,10453,10862,11424
,Banyu Asin,68.76,69.15,69.95,70.67,71.55,"7,68","8,27","7,71","7,69","7,48","19999,57","20767,64","21871,6","22978,68","24160,75","11,17","10,75",10,"9,58","9,31",68.97,69.06,69.43,69.76,69.96,429816,445089,477393,509264,539283,71,71,68,71,72,73.06,72.12,72.8,74.53,61.51,88.93,88.96,89.32,89.54,89.9,9850,9860,10299,10731,11277
,Ogan Komering Ulu Selatan,67.81,67.85,68.33,69.05,70,"8,17","8,16","8,31","8,53","8,25","5734,09","5974,14","6263,99","6525,68","6824,83","10,85","11,12","10,56","10,36","9,86",67.04,67.07,67.36,67.88,68.25,341148,359859,379854,413228,436420,74,76,124,124,126,53.86,57.68,57.54,63.2,59.8,92.62,92.39,92.4,92.46,92.43,8580,8585,8895,9176,9680
,Ogan Komering Ulu Timur,71.37,71.68,72.33,73.05,73.64,"7,99","7,94","8,36","8,43","8,08","10081,03",10549,"11123,37","11685,45","12284,09","10,43","10,6","10,05","9,99","9,75",69.1,69.17,69.48,69.78,70,343601,362446,383463,410548,434534,193,194,150,153,154,78.8,84.63,87.48,88.25,88.91,94,93.82,94.36,94.59,94.83,11505,11531,11759,12046,12623
,Ogan Ilir,70.29,70.4,71.2,72.01,72.67,"8,37","8,17","8,47","8,58","8,09","7492,94","7769,74","8159,68","8543,8","8954,86","13,36","13,82","12,33","13,28","12,3",65.48,65.6,65.98,66.33,66.54,469746,492537,523864,571657,589012,156,157,186,187,189,73.28,68.52,71.55,76.17,75.12,99.13,99.09,98.92,98.93,98.89,10424,10454,11069,11456,12093
,Empat Lawang,67.64,67.77,68.39,69.07,69.63,"8,16","8,03","7,71","7,91","7,68","3473,4","3604,94","3784,49","3946,21","4121,55","12,63","13,35","12,03","11,8","10,78",65.08,65.13,65.45,65.73,65.87,341007,360378,384199,411191,421747,148,152,154,153,155,57.6,53.52,66.93,67.81,39.84,93.38,93.32,93.47,93.69,93.79,9350,9400,9838,10375,10889
,Penukal Abab Lematang Ilir,66.84,67.03,67.89,68.78,69.63,"7,63","7,11","7,78","7,72","7,27","4716,96","4819,89","5033,47","5267,82","5529,94","12,62","12,91","11,76","10,91","9,82",68.27,68.33,68.65,68.96,69.17,412236,435379,458746,487341,503822,106,107,109,110,111,90.49,94.38,89.4,95.22,95.72,93.17,93.13,93.66,93.71,93.63,8196,8210,8680,9139,9604
,Musi Rawas Utara,67.48,67.94,68.76,69.63,70.45,"7,97",8,"7,86","8,22","7,51","5573,36","5706,51","5961,63","6220,29","6501,31","19,47","20,11","18,45","18,26","17,38",65.68,65.76,66.08,66.37,66.56,504598,532273,565070,604903,638089,31,32,32,33,33,58.13,66.05,65.73,68.57,69.95,92.82,92.6,93.02,92.96,92.71,9783,9855,10283,10631,11198
,Kota Palembang,80.08,80.46,81.19,81.72,82.29,"10,65","11,02","11,05","10,99","10,93","103952,7","107182,6","112814,8","118587,1","124671,4","10,89","11,34","10,48","10,22","9,77",70.79,71.01,71.49,71.99,72.35,548563,567518,597136,643356,660932,4520,4565,4681,4841,4875,89.63,94.48,92.66,95.16,94.29,95.97,96.07,96.24,96.52,96.64,14679,14704,15168,15592,16150
,Kota Prabumulih,76.19,76.3,77.14,78.07,78.68,"10,13","9,98","10,34","10,47","10,36","5377,93","5541,97","5822,37","6101,84","6407,65","11,59","12,2","11,28","11,23","10,13",70.32,70.47,70.87,71.27,71.59,569769,592210,623429,649951,650002,767,777,314,449,455,91.23,95.2,97.61,96.44,95.83,93.7,93.68,93.99,93.72,94.09,12723,12752,13106,13494,13982
,Kota Pagar Alam,71.1,71.47,72.4,73.25,74,"9,71","9,62","9,45","9,63","9,44","2234,27","2332,45","2445,82","2552,1","2681,01","9,07","9,4","8,47","8,88","8,18",66.71,66.85,67.29,67.7,67.98,342738,356287,370417,408917,427007,227,229,400,236,238,52.71,58.2,62.11,61.28,53.94,94.46,94.64,94.92,95.01,95.12,8795,8877,9330,9683,10245
,Kota Lubuklinggau,76.99,77.09,77.71,78.36,78.98,"10,12","9,62","9,51","9,56","9,94","4333,67","4470,23","4671,9","4879,45","5105,06","12,71","13,23","12,68","12,65","11,14",69.25,69.39,69.82,70.25,70.59,495213,516763,541784,583867,671095,583,590,504,661,669,85.87,85.85,87.64,86.05,86.84,95.83,95.84,96.01,95.47,95.27,13243,13267,13832,14211,14672
Bengkulu,Bengkulu Selatan,72.81,72.93,73.58,74.06,74.53,"9,26","9,27","9,39","9,41","9,42","3624,59","3742,51","3871,61","3994,82","4169,51","17,82","18,16","17,86","17,51","17,1",67.9,67.93,68.15,68.4,68.53,394513,408904,435955,467762,492627,136,142,139,141,142,72.02,74.73,84.09,83.81,84.42,94.14,94.31,94.72,94.74,94.76,9837,9916,10318,10657,11040
,Rejang Lebong,72.51,72.85,73.54,74.43,75.04,"8,28","8,33","8,55","8,8","8,81","6083,03","6274,23","6544,12","6808,99","7101,11","15,85","15,85","15,65","14,79","14,65",68.57,68.75,69,69.22,69.42,472555,487490,530029,566433,595125,179,170,182,184,186,70.02,71.5,70.2,64.41,71.81,93.78,93.72,93.83,94.24,94.31,10234,10323,10547,10848,11385
,Bengkulu Utara,70.81,71.28,71.76,72.27,73.1,"7,87","8,09","8,1","8,11","8,32","5216,35","5425,36","5595,96","5829,87","6088,15","11,67","11,61","11,48","11,29","10,96",68.19,68.27,68.53,68.77,68.99,387881,398746,423857,459171,484432,66,69,68,68,69,79.23,81.37,83.44,82.84,85.53,91.23,91.39,91.39,91.47,91.59,10263,10410,10774,11188,11715
,Kaur,69.52,69.71,70.3,70.92,71.53,"8,37","8,38","8,39","8,41","8,47","2263,55","2333,3","2421,45","2503,82","2607,62","18,47","18,62","18,1","17,83","17,12",66.63,66.73,67.01,67.27,67.51,338451,350794,371660,415715,432939,49,54,50,50,51,76.09,78.63,81.23,86.43,87.01,87.12,87.17,87.51,87.72,87.71,8593,8638,9009,9365,9742
,Seluma,68.87,69,69.74,70.27,70.98,"7,99",8,"8,09","8,13","8,14","2870,32","2932,95","3018,64","3097,53","3223,4","18,56","18,72","18,36",18,"17,23",67.75,67.9,68.13,68.35,68.53,400090,414446,444931,478617,502739,85,88,88,88,89,78.26,84.29,86.16,87.17,88.75,85.65,85.93,86.16,86.3,86.4,8220,8256,8657,8949,9474
,Mukomuko,71.47,71.67,72.15,73,73.65,"8,29","8,3","8,31","8,56","8,57","3327,35","3438,68","3587,44","3719,67","3870,27","11,72","11,93","11,44","10,76","10,76",66.64,66.73,67,67.3,67.57,448127,464473,494426,534660,566069,46,48,48,48,49,81.04,86.78,79.12,80.94,85.82,83.88,84.03,84.22,84.87,85.11,10266,10405,10747,11075,11665
,Lebong,71.2,71.67,72.35,72.95,73.54,"7,99","8,18","8,24","8,26","8,41","2126,72","2192,26","2257,54","2321,72","2421,54","11,85",12,"12,03","11,15","10,45",63.29,63.4,63.68,63.93,64.13,424637,440127,472738,507046,532432,64,56,64,66,67,46.8,51.55,51.92,55.62,59.38,91.6,91.86,92.19,92.06,92.09,11124,11317,11644,12012,12362
,Kepahiang,69.91,70.38,70.85,71.38,72.05,"8,24","8,29","8,3","8,36","8,37","2805,56","2894,35","3015,57","3136,44","3270,63","14,69","14,83","14,53","14,12","12,9",67.95,68.08,68.28,68.46,68.61,396184,410569,433660,465292,488445,200,228,205,206,209,65.95,66.89,64.58,69.25,69.81,95.8,95.73,96.11,96.01,96.08,9273,9377,9708,10044,10620
